CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,PrescriptorName
Afghanistan,,0,62249.43660740305,0.029999999999999995,FeatGreedy
Afghanistan,,1,59377.59759063346,0.05,FeatGreedy
Afghanistan,,2,56684.42651948377,0.09,FeatGreedy
Afghanistan,,3,55309.44288490942,0.11,FeatGreedy
Afghanistan,,4,52384.12321444721,0.31,FeatGreedy
Afghanistan,,5,40883.62586109267,1.0,FeatGreedy
Afghanistan,,6,32166.580678540595,1.3900000000000001,FeatGreedy
Afghanistan,,7,30224.651760017285,1.8300000000000003,FeatGreedy
Afghanistan,,8,28806.02953179353,2.0300000000000002,FeatGreedy
Afghanistan,,9,28210.508439097484,2.1900000000000004,FeatGreedy
Albania,,0,3896.893682336152,0.029999999999999995,FeatGreedy
Albania,,1,3730.720548128273,0.05,FeatGreedy
Albania,,2,3584.4525964511135,0.09,FeatGreedy
Albania,,3,3513.317951100034,0.11,FeatGreedy
Albania,,4,3369.595586593526,0.31,FeatGreedy
Albania,,5,2884.0001352280115,1.0,FeatGreedy
Albania,,6,2562.7713968712787,1.3900000000000001,FeatGreedy
Albania,,7,2492.5263448166097,1.8300000000000003,FeatGreedy
Albania,,8,2440.977539516244,2.0300000000000002,FeatGreedy
Albania,,9,2419.2331053991315,2.1900000000000004,FeatGreedy
Algeria,,0,70432.69784088769,0.029999999999999995,FeatGreedy
Algeria,,1,67617.27885589472,0.05,FeatGreedy
Algeria,,2,65061.11312665125,0.09,FeatGreedy
Algeria,,3,63786.18636686626,0.11,FeatGreedy
Algeria,,4,61135.61931599,0.31,FeatGreedy
Algeria,,5,51228.54539850776,1.0,FeatGreedy
Algeria,,6,43715.231893812066,1.3900000000000001,FeatGreedy
Algeria,,7,41974.580238876195,1.8300000000000003,FeatGreedy
Algeria,,8,40678.25757910935,2.0300000000000002,FeatGreedy
Algeria,,9,40127.04252182822,2.1900000000000004,FeatGreedy
Andorra,,0,31.050261608463774,0.029999999999999995,FeatGreedy
Andorra,,1,28.408414075844146,0.05,FeatGreedy
Andorra,,2,26.317392809591734,0.09,FeatGreedy
Andorra,,3,25.376394439809836,0.11,FeatGreedy
Andorra,,4,23.622778840059105,0.31,FeatGreedy
Andorra,,5,18.93984293121374,1.0,FeatGreedy
Andorra,,6,16.672317203979116,1.3900000000000001,FeatGreedy
Andorra,,7,16.24643551225163,1.8300000000000003,FeatGreedy
Andorra,,8,15.947829526196927,2.0300000000000002,FeatGreedy
Andorra,,9,15.825093099158481,2.1900000000000004,FeatGreedy
Angola,,0,52994.3702994902,0.029999999999999995,FeatGreedy
Angola,,1,50562.52472647266,0.05,FeatGreedy
Angola,,2,48279.8713264638,0.09,FeatGreedy
Angola,,3,47113.44885417793,0.11,FeatGreedy
Angola,,4,44629.19871643154,0.31,FeatGreedy
Angola,,5,34821.00818757636,1.0,FeatGreedy
Angola,,6,27350.00080555773,1.3900000000000001,FeatGreedy
Angola,,7,25683.35254377497,1.8300000000000003,FeatGreedy
Angola,,8,24465.518023895333,2.0300000000000002,FeatGreedy
Angola,,9,23954.25585673797,2.1900000000000004,FeatGreedy
Argentina,,0,52842.130043653335,0.029999999999999995,FeatGreedy
Argentina,,1,50167.9873146535,0.05,FeatGreedy
Argentina,,2,47825.11916866834,0.09,FeatGreedy
Argentina,,3,46689.136086486316,0.11,FeatGreedy
Argentina,,4,44402.17532969222,0.31,FeatGreedy
Argentina,,5,36802.32881572375,1.0,FeatGreedy
Argentina,,6,31948.432876754687,1.3900000000000001,FeatGreedy
Argentina,,7,30912.698540266898,1.8300000000000003,FeatGreedy
Argentina,,8,30159.20359915047,2.0300000000000002,FeatGreedy
Argentina,,9,29843.130394609216,2.1900000000000004,FeatGreedy
Aruba,,0,106.77971988323384,0.029999999999999995,FeatGreedy
Aruba,,1,100.62748440185077,0.05,FeatGreedy
Aruba,,2,95.29123874430486,0.09,FeatGreedy
Aruba,,3,92.72557486409451,0.11,FeatGreedy
Aruba,,4,87.61280143237697,0.31,FeatGreedy
Aruba,,5,71.251626778554,1.0,FeatGreedy
Aruba,,6,61.42858872539834,1.3900000000000001,FeatGreedy
Aruba,,7,59.404048596142935,1.8300000000000003,FeatGreedy
Aruba,,8,57.94908284827004,2.0300000000000002,FeatGreedy
Aruba,,9,57.342942229406276,2.1900000000000004,FeatGreedy
Australia,,0,39944.06759884192,0.029999999999999995,FeatGreedy
Australia,,1,37638.88088272926,0.05,FeatGreedy
Australia,,2,35405.3357795582,0.09,FeatGreedy
Australia,,3,34242.752757628296,0.11,FeatGreedy
Australia,,4,31734.16534275827,0.31,FeatGreedy
Australia,,5,21952.67784918718,1.0,FeatGreedy
Australia,,6,15336.47367087208,1.3900000000000001,FeatGreedy
Australia,,7,14004.701488806226,1.8300000000000003,FeatGreedy
Australia,,8,13066.732942995213,2.0300000000000002,FeatGreedy
Australia,,9,12681.86749462906,2.1900000000000004,FeatGreedy
Austria,,0,9800.481723341025,0.029999999999999995,FeatGreedy
Austria,,1,9240.884620482193,0.05,FeatGreedy
Austria,,2,8746.08534170441,0.09,FeatGreedy
Austria,,3,8504.88366046412,0.11,FeatGreedy
Austria,,4,8016.928838958819,0.31,FeatGreedy
Austria,,5,6380.3466649450465,1.0,FeatGreedy
Austria,,6,5339.945985065309,1.3900000000000001,FeatGreedy
Austria,,7,5120.779095047835,1.8300000000000003,FeatGreedy
Austria,,8,4962.28953242293,2.0300000000000002,FeatGreedy
Austria,,9,4896.067943479961,2.1900000000000004,FeatGreedy
Azerbaijan,,0,13427.341482211317,0.029999999999999995,FeatGreedy
Azerbaijan,,1,12801.265671100467,0.05,FeatGreedy
Azerbaijan,,2,12241.911057699557,0.09,FeatGreedy
Azerbaijan,,3,11966.717284384444,0.11,FeatGreedy
Azerbaijan,,4,11403.78045676936,0.31,FeatGreedy
Azerbaijan,,5,9426.556020437096,1.0,FeatGreedy
Azerbaijan,,6,8061.38213438291,1.3900000000000001,FeatGreedy
Azerbaijan,,7,7759.32628722747,1.8300000000000003,FeatGreedy
Azerbaijan,,8,7537.362869088348,2.0300000000000002,FeatGreedy
Azerbaijan,,9,7443.699042639407,2.1900000000000004,FeatGreedy
