Date,RegionName,PredictedDailyNewCases,PredictedDailyNewRatios,RN,Pred,SmoothNewDeaths,truth,CountryName,Month_Year
2021-04-01,,0.0,0.8987112045288086,0.8989795,0,0,0.5714285714285714,Aruba,2021_4
2021-04-02,,0.0,0.899040937423706,0.8989795,0,0,0.5714285714285714,Aruba,2021_4
2021-04-03,,0.0,0.8994221687316895,0.8989795,0,0,0.5714285714285714,Aruba,2021_4
2021-04-04,,0.0,0.8992409706115723,0.8989795,0,0,1.1428571428571428,Aruba,2021_4
2021-04-05,,0.0,0.9397097527980804,0.92213378,0,0,1.1428571428571428,Aruba,2021_4
2021-04-06,,2.0,0.9796543717384338,0.94528806,0,0,0.8571428571428571,Aruba,2021_4
2021-04-07,,0.0,0.9778456091880798,0.94528806,0,0,0.8571428571428571,Aruba,2021_4
2021-04-08,,0.0,0.97367525100708,0.94528806,0,0,0.8571428571428571,Aruba,2021_4
2021-04-09,,0.0,0.9713652729988098,0.94528806,0,0,0.8571428571428571,Aruba,2021_4
2021-04-10,,0.0,0.9651217460632324,0.94528806,0,0,0.8571428571428571,Aruba,2021_4
2021-04-11,,3.0,0.962913691997528,0.94528806,0,0,0.2857142857142857,Aruba,2021_4
2021-04-12,,0.0,0.9667582511901855,0.94528806,0,0,0.2857142857142857,Aruba,2021_4
2021-04-01,,0.0,0.8962755799293518,0.8957774,0,0,3.142857142857143,Afghanistan,2021_4
2021-04-02,,0.0,0.8960159420967102,0.8957774,0,0,4.0,Afghanistan,2021_4
2021-04-03,,0.0,0.8962322473526001,0.8957774,0,0,3.857142857142857,Afghanistan,2021_4
2021-04-04,,0.0,0.8962253928184509,0.8957774,0,0,3.857142857142857,Afghanistan,2021_4
2021-04-05,,0.0,0.9316495954990387,0.9196861,0,0,5.142857142857143,Afghanistan,2021_4
2021-04-06,,3.0,0.9671801328659058,0.9435948,0,0,5.142857142857143,Afghanistan,2021_4
2021-04-07,,7.0,0.9667119979858398,0.9435948,0,0,4.0,Afghanistan,2021_4
2021-04-08,,4.0,0.9616978168487548,0.9435948,0,0,3.857142857142857,Afghanistan,2021_4
2021-04-09,,5.0,0.9608854055404664,0.9435948,0,0,3.7142857142857144,Afghanistan,2021_4
2021-04-10,,0.0,0.955177128314972,0.9435948,0,0,3.5714285714285716,Afghanistan,2021_4
2021-04-11,,0.0,0.951154351234436,0.9435948,0,0,3.4285714285714284,Afghanistan,2021_4
2021-04-12,,0.0,0.95949125289917,0.9435948,0,0,3.0,Afghanistan,2021_4
2021-04-01,,0.0,0.8958583474159241,0.89586174,0,0,0.8571428571428571,Angola,2021_4
2021-04-02,,0.0,0.8959718942642212,0.89586174,0,0,0.8571428571428571,Angola,2021_4
2021-04-03,,0.0,0.8961648344993591,0.89586174,0,0,1.0,Angola,2021_4
2021-04-04,,0.0,0.8960139155387878,0.89586174,0,0,1.2857142857142858,Angola,2021_4
2021-04-05,,0.0,0.9237472414970398,0.91218472,0,0,1.2857142857142858,Angola,2021_4
2021-04-06,,1.0,0.9523305892944336,0.9285077,0,0,1.5714285714285714,Angola,2021_4
2021-04-07,,0.0,0.9506526589393616,0.9285077,0,0,1.4285714285714286,Angola,2021_4
2021-04-08,,0.0,0.9477288722991944,0.9285077,0,0,1.5714285714285714,Angola,2021_4
2021-04-09,,0.0,0.9471349716186525,0.9285077,0,0,1.5714285714285714,Angola,2021_4
2021-04-10,,1.0,0.940205454826355,0.9285077,0,0,1.4285714285714286,Angola,2021_4
2021-04-11,,1.0,0.9384657144546508,0.9285077,0,0,1.5714285714285714,Angola,2021_4
2021-04-12,,0.0,0.9425623416900636,0.9285077,0,0,1.5714285714285714,Angola,2021_4
2021-04-01,,2.0,0.8955752849578857,0.8951844,0,0,8.142857142857142,Albania,2021_4
2021-04-02,,6.0,0.8955712914466858,0.8951844,0,0,7.857142857142857,Albania,2021_4
2021-04-03,,2.0,0.8956255912780762,0.8951844,0,0,7.428571428571429,Albania,2021_4
2021-04-04,,0.0,0.8954029679298401,0.8951844,0,0,7.857142857142857,Albania,2021_4
2021-04-05,,0.0,0.9178198575973511,0.906878325,0,0,8.285714285714286,Albania,2021_4
2021-04-06,,6.0,0.9401031136512756,0.91857225,0,0,8.0,Albania,2021_4
2021-04-07,,4.0,0.9389660954475404,0.91857225,0,0,8.0,Albania,2021_4
2021-04-08,,2.0,0.936351239681244,0.91857225,0,0,8.0,Albania,2021_4
2021-04-09,,2.0,0.9353250861167908,0.91857225,0,0,8.142857142857142,Albania,2021_4
2021-04-10,,5.0,0.9305878281593324,0.91857225,0,0,7.714285714285714,Albania,2021_4
2021-04-11,,6.0,0.9297618269920348,0.91857225,0,0,7.428571428571429,Albania,2021_4
2021-04-12,,0.0,0.9318666458129884,0.91857225,0,0,6.714285714285714,Albania,2021_4
2021-04-01,,0.0,0.9001752734184265,0.900517,0,0,0.14285714285714285,Andorra,2021_4
2021-04-02,,0.0,0.9006348848342896,0.900517,0,0,0.2857142857142857,Andorra,2021_4
