Date,RegionName,PredictedDailyNewCases,PredictedDailyNewRatios,RN,Pred,SmoothNewDeaths,truth,Month_Year
2021-02-01,,0.0,0.9678898453712464,0.95897436,23,23,22.714285714285715,2021-02
2021-02-01,,0.0,0.9678898453712464,0.95897436,35,35,22.714285714285715,2021-02
2021-02-02,,38.0,0.9660165905952454,0.95897436,34,34,21.571428571428573,2021-02
2021-02-03,,40.0,0.964862048625946,0.95897436,33,33,21.0,2021-02
2021-02-04,,24.0,0.9636067748069764,0.95897436,32,32,18.285714285714285,2021-02
2021-02-05,,31.0,0.9621974229812622,0.95897436,31,31,17.857142857142858,2021-02
2021-02-06,,0.0,0.961117148399353,0.95897436,30,30,17.571428571428573,2021-02
2021-02-07,,17.0,0.9598243236541748,0.95897436,29,29,15.571428571428571,2021-02
2021-02-08,,0.0,0.9561415016651154,0.9556460099999999,28,28,15.0,2021-02
2021-02-09,,15.0,0.9530162811279296,0.95231766,27,27,14.142857142857142,2021-02
2021-02-10,,10.0,0.9528429508209229,0.95231766,26,26,13.571428571428571,2021-02
2021-02-11,,15.0,0.95293527841568,0.95231766,25,25,10.857142857142858,2021-02
2021-02-12,,11.0,0.9528935551643372,0.95231766,24,24,12.857142857142858,2021-02
2021-02-13,,9.0,0.9534818530082704,0.95231766,23,23,11.714285714285714,2021-02
2021-02-14,,6.0,0.9531925916671752,0.95231766,22,22,10.571428571428571,2021-02
2021-02-15,,0.0,0.952653467655182,0.95231766,21,21,10.142857142857142,2021-02
2021-02-08,,0.0,0.9561415016651154,0.9556460099999999,15,15,15.0,2021-02
2021-02-09,,15.0,0.9530162811279296,0.95231766,14,14,14.142857142857142,2021-02
2021-02-10,,10.0,0.9528429508209229,0.95231766,13,13,13.571428571428571,2021-02
2021-02-11,,15.0,0.95293527841568,0.95231766,12,12,10.857142857142858,2021-02
2021-02-12,,11.0,0.9528935551643372,0.95231766,11,11,12.857142857142858,2021-02
2021-02-13,,9.0,0.9534818530082704,0.95231766,10,10,11.714285714285714,2021-02
2021-02-14,,6.0,0.9531925916671752,0.95231766,9,9,10.571428571428571,2021-02
2021-02-15,,0.0,0.952653467655182,0.95231766,8,8,10.142857142857142,2021-02
2021-02-16,,11.0,0.9525892734527588,0.95231766,7,7,8.714285714285714,2021-02
2021-02-17,,6.0,0.9524648189544678,0.95231766,6,6,7.714285714285714,2021-02
2021-02-18,,12.0,0.952378273010254,0.95231766,5,5,8.0,2021-02
2021-02-19,,8.0,0.9523240327835084,0.95231766,4,4,5.285714285714286,2021-02
2021-02-20,,6.0,0.9522668719291688,0.95231766,3,3,4.857142857142857,2021-02
2021-02-21,,3.0,0.95230233669281,0.95231766,2,2,5.142857142857143,2021-02
2021-02-22,,0.0,0.8848823308944702,0.87068111,1,1,4.428571428571429,2021-02
2021-02-23,,0.0,0.8185279369354248,0.78904456,0,0,4.857142857142857,2021-02
2021-02-24,,0.0,0.8196732401847839,0.78904456,0,0,5.428571428571429,2021-02
2021-02-25,,0.0,0.8163996934890747,0.78904456,0,0,5.428571428571429,2021-02
2021-02-26,,7.0,0.8156498074531555,0.78904456,0,0,4.714285714285714,2021-02
2021-02-27,,0.0,0.8097808361053467,0.78904456,0,0,4.428571428571429,2021-02
2021-02-28,,1.0,0.8083828091621399,0.78904456,0,0,3.857142857142857,2021-02
2021-02-22,,0.0,0.8848823308944702,0.87068111,4,4,4.428571428571429,2021-02
2021-02-23,,0.0,0.8185279369354248,0.78904456,3,3,4.857142857142857,2021-02
2021-02-24,,0.0,0.8196732401847839,0.78904456,2,2,5.428571428571429,2021-02
2021-02-25,,0.0,0.8163996934890747,0.78904456,1,1,5.428571428571429,2021-02
2021-02-26,,7.0,0.8156498074531555,0.78904456,0,0,4.714285714285714,2021-02
2021-02-27,,0.0,0.8097808361053467,0.78904456,0,0,4.428571428571429,2021-02
2021-02-28,,1.0,0.8083828091621399,0.78904456,0,0,3.857142857142857,2021-02
