Date,RegionName,PredictedDailyNewCases,PredictedDailyNewRatios,RN,Pred,SmoothNewDeaths,truth,Month_Year
2021-08-01,,20.5,0.8912332355976105,0.84419347,10,10,69.85714285714286,2021-08
2021-08-02,,0.0,0.8936673402786255,0.84419347,8,8,66.0,2021-08
2021-08-01,,20.5,0.8912332355976105,0.84419347,24,24,69.85714285714286,2021-08
2021-08-02,,0.0,0.8936673402786255,0.84419347,21,21,66.0,2021-08
2021-08-03,,0.0,0.8648926615715027,0.7723005,16,16,56.57142857142857,2021-08
2021-08-04,,0.0,0.8566256165504456,0.7723005,12,12,53.0,2021-08
2021-08-05,,0.0,0.8515022993087769,0.7723005,9,9,47.57142857142857,2021-08
2021-08-06,,35.0,0.8439076542854309,0.7723005,7,7,45.0,2021-08
2021-08-07,,39.0,0.8395111560821533,0.7723005,5,5,42.0,2021-08
2021-08-08,,0.0,0.8321914076805115,0.7723005,4,4,45.285714285714285,2021-08
2021-08-09,,0.0,0.8675537407398224,0.79039535,3,3,40.57142857142857,2021-08
2021-08-10,,7.5,0.8618113696575165,0.79039535,2,2,39.142857142857146,2021-08
2021-08-11,,5.0,0.8562491834163666,0.79039535,1,1,40.0,2021-08
2021-08-12,,9.5,0.8479090929031372,0.79039535,0,0,41.857142857142854,2021-08
2021-08-13,,24.0,0.8431609869003296,0.79039535,0,0,38.285714285714285,2021-08
2021-08-14,,13.5,0.8363240659236908,0.79039535,0,0,37.714285714285715,2021-08
2021-08-15,,27.5,0.8285643756389618,0.79039535,0,0,29.857142857142858,2021-08
2021-08-16,,0.0,0.8268243670463562,0.79039535,0,0,27.142857142857142,2021-08
2021-08-09,,0.0,0.8675537407398224,0.79039535,37,37,40.57142857142857,2021-08
2021-08-10,,7.5,0.8618113696575165,0.79039535,30,30,39.142857142857146,2021-08
2021-08-11,,5.0,0.8562491834163666,0.79039535,24,24,40.0,2021-08
2021-08-12,,9.5,0.8479090929031372,0.79039535,19,19,41.857142857142854,2021-08
2021-08-13,,24.0,0.8431609869003296,0.79039535,15,15,38.285714285714285,2021-08
2021-08-14,,13.5,0.8363240659236908,0.79039535,12,12,37.714285714285715,2021-08
2021-08-15,,27.5,0.8285643756389618,0.79039535,9,9,29.857142857142858,2021-08
2021-08-16,,0.0,0.8268243670463562,0.79039535,7,7,27.142857142857142,2021-08
2021-08-17,,0.0,0.8761351704597473,0.8084902,5,5,29.428571428571427,2021-08
2021-08-18,,0.0,0.871006429195404,0.8084902,4,4,27.142857142857142,2021-08
2021-08-19,,4.0,0.8678459525108337,0.8084902,3,3,21.571428571428573,2021-08
2021-08-20,,16.0,0.861943244934082,0.8084902,2,2,17.857142857142858,2021-08
2021-08-21,,0.0,0.8592347502708435,0.8084902,1,1,20.857142857142858,2021-08
2021-08-22,,43.0,0.855235755443573,0.8084902,0,0,20.0,2021-08
2021-08-23,,0.0,0.8921175003051758,0.8626398500000001,0,0,26.285714285714285,2021-08
2021-08-24,,18.5,0.8886784017086029,0.8626398500000001,0,0,23.428571428571427,2021-08
2021-08-25,,7.5,0.8855215013027191,0.8626398500000001,0,0,22.428571428571427,2021-08
2021-08-26,,4.0,0.8813655078411102,0.8626398500000001,0,0,22.571428571428573,2021-08
2021-08-27,,2.5,0.8774256110191345,0.8626398500000001,0,0,25.142857142857142,2021-08
2021-08-28,,14.5,0.872270941734314,0.8626398500000001,0,0,22.0,2021-08
2021-08-29,,18.5,0.8682979643344879,0.8626398500000001,0,0,21.714285714285715,2021-08
2021-08-30,,0.0,0.8656899631023407,0.8626398500000001,0,0,17.571428571428573,2021-08
2021-08-23,,0.0,0.8921175003051758,0.8626398500000001,17,17,26.285714285714285,2021-08
2021-08-24,,18.5,0.8886784017086029,0.8626398500000001,15,15,23.428571428571427,2021-08
2021-08-25,,7.5,0.8855215013027191,0.8626398500000001,13,13,22.428571428571427,2021-08
2021-08-26,,4.0,0.8813655078411102,0.8626398500000001,11,11,22.571428571428573,2021-08
2021-08-27,,2.5,0.8774256110191345,0.8626398500000001,9,9,25.142857142857142,2021-08
2021-08-28,,14.5,0.872270941734314,0.8626398500000001,8,8,22.0,2021-08
2021-08-29,,18.5,0.8682979643344879,0.8626398500000001,7,7,21.714285714285715,2021-08
2021-08-30,,0.0,0.8656899631023407,0.8626398500000001,6,6,17.571428571428573,2021-08
2021-08-31,,29.0,0.92186838388443,0.9167895,5,5,14.142857142857142,2021-08
