Date,RegionName,PredictedDailyNewCases,PredictedDailyNewRatios,RN,Pred,SmoothNewDeaths,truth,Month_Year
2021-03-01,,0.0,0.807936429977417,0.78904456,0,0,3.857142857142857,2021-03
2021-03-01,,0.0,0.807936429977417,0.78904456,0,0,3.857142857142857,2021-03
2021-03-02,,0.0,0.8074542880058289,0.78904456,0,0,3.4285714285714284,2021-03
2021-03-03,,0.0,0.8023062944412231,0.78904456,0,0,3.142857142857143,2021-03
2021-03-04,,0.0,0.8017204999923706,0.78904456,0,0,3.5714285714285716,2021-03
2021-03-05,,5.0,0.796530544757843,0.78904456,0,0,3.0,2021-03
2021-03-06,,0.0,0.7958380579948425,0.78904456,0,0,3.142857142857143,2021-03
2021-03-07,,0.0,0.7903484106063843,0.78904456,0,0,3.142857142857143,2021-03
2021-03-08,,0.0,0.8040320873260498,0.78782038,0,0,2.7142857142857144,2021-03
2021-03-09,,0.0,0.8177515268325806,0.7865962,0,0,2.4285714285714284,2021-03
2021-03-10,,3.0,0.8163977265357971,0.7865962,0,0,1.5714285714285714,2021-03
2021-03-11,,3.0,0.8116790652275085,0.7865962,0,0,1.2857142857142858,2021-03
2021-03-12,,0.0,0.8099015355110168,0.7865962,0,0,1.7142857142857142,2021-03
2021-03-13,,0.0,0.8041542172431946,0.7865962,0,0,2.2857142857142856,2021-03
2021-03-14,,0.0,0.8038018345832825,0.7865962,0,0,2.5714285714285716,2021-03
2021-03-15,,0.0,0.8067013025283813,0.7865962,0,0,2.4285714285714284,2021-03
2021-03-08,,0.0,0.8040320873260498,0.78782038,2,2,2.7142857142857144,2021-03
2021-03-09,,0.0,0.8177515268325806,0.7865962,1,1,2.4285714285714284,2021-03
2021-03-10,,3.0,0.8163977265357971,0.7865962,0,0,1.5714285714285714,2021-03
2021-03-11,,3.0,0.8116790652275085,0.7865962,0,0,1.2857142857142858,2021-03
2021-03-12,,0.0,0.8099015355110168,0.7865962,0,0,1.7142857142857142,2021-03
2021-03-13,,0.0,0.8041542172431946,0.7865962,0,0,2.2857142857142856,2021-03
2021-03-14,,0.0,0.8038018345832825,0.7865962,0,0,2.5714285714285716,2021-03
2021-03-15,,0.0,0.8067013025283813,0.7865962,0,0,2.4285714285714284,2021-03
2021-03-16,,0.0,0.8056061863899231,0.7865962,0,0,2.5714285714285716,2021-03
2021-03-17,,1.0,0.8002483248710632,0.7865962,0,0,2.7142857142857144,2021-03
2021-03-18,,2.0,0.7997280955314636,0.7865962,0,0,2.4285714285714284,2021-03
2021-03-19,,0.0,0.7943344116210938,0.7865962,0,0,2.0,2021-03
2021-03-20,,0.0,0.793820858001709,0.7865962,0,0,1.2857142857142858,2021-03
2021-03-21,,0.0,0.7880906462669373,0.7865962,0,0,1.2857142857142858,2021-03
2021-03-22,,0.0,0.8434555232524872,0.840990225,0,0,1.4285714285714286,2021-03
2021-03-23,,2.0,0.8997179865837097,0.89538425,0,0,1.2857142857142858,2021-03
2021-03-24,,0.0,0.8975691795349121,0.89538425,0,0,1.1428571428571428,2021-03
2021-03-25,,0.0,0.8931658267974854,0.89538425,0,0,1.2857142857142858,2021-03
2021-03-26,,0.0,0.8917024731636047,0.89538425,0,0,1.1428571428571428,2021-03
2021-03-27,,0.0,0.8894442319869995,0.89538425,0,0,1.2857142857142858,2021-03
2021-03-28,,1.0,0.8892507553100586,0.89538425,0,0,1.1428571428571428,2021-03
2021-03-29,,0.0,0.894058883190155,0.89538425,0,0,0.8571428571428571,2021-03
2021-03-22,,0.0,0.8434555232524872,0.840990225,1,1,1.4285714285714286,2021-03
2021-03-23,,2.0,0.8997179865837097,0.89538425,0,0,1.2857142857142858,2021-03
2021-03-24,,0.0,0.8975691795349121,0.89538425,0,0,1.1428571428571428,2021-03
2021-03-25,,0.0,0.8931658267974854,0.89538425,0,0,1.2857142857142858,2021-03
2021-03-26,,0.0,0.8917024731636047,0.89538425,0,0,1.1428571428571428,2021-03
2021-03-27,,0.0,0.8894442319869995,0.89538425,0,0,1.2857142857142858,2021-03
2021-03-28,,1.0,0.8892507553100586,0.89538425,0,0,1.1428571428571428,2021-03
2021-03-29,,0.0,0.894058883190155,0.89538425,0,0,0.8571428571428571,2021-03
2021-03-30,,1.0,0.8942046165466309,0.89538425,0,0,0.5714285714285714,2021-03
2021-03-31,,0.0,0.8942204713821411,0.89538425,0,0,1.0,2021-03
