CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,PrescriptorName
Afghanistan,,0,275.70057093589537,0.0,V4C
Afghanistan,,1,235.01406596307544,1.22,V4C
Afghanistan,,2,225.15036529437526,1.92,V4C
Afghanistan,,3,207.82173475824766,2.88,V4C
Afghanistan,,4,193.41962582866458,4.589999999999999,V4C
Afghanistan,,5,193.41962582866458,4.589999999999999,V4C
Afghanistan,,6,183.61439068933592,6.17,V4C
Afghanistan,,7,172.04172687930864,7.88,V4C
Afghanistan,,8,154.8923270067264,15.049999999999999,V4C
Afghanistan,,9,152.80956073274328,17.93,V4C
Albania,,0,3084.836697745862,0.0,V4C
Albania,,1,3084.836697745862,0.0,V4C
Albania,,2,2878.458371472755,0.14,V4C
Albania,,3,2878.458371472755,0.14,V4C
Albania,,4,2702.0193092469194,0.28,V4C
Albania,,5,2702.0193092469194,0.28,V4C
Albania,,6,2549.706606778548,0.42000000000000004,V4C
Albania,,7,2549.706606778548,0.42000000000000004,V4C
Albania,,8,2487.9009854605383,0.6200000000000001,V4C
Albania,,9,2487.9009854605383,0.6200000000000001,V4C
Algeria,,0,1321.2543567337,0.0,V4C
Algeria,,1,1217.4035252120414,0.06,V4C
Algeria,,2,1217.4035252120414,0.06,V4C
Algeria,,3,1130.2482402848923,0.12,V4C
Algeria,,4,1130.2482402848923,0.12,V4C
Algeria,,5,1056.2118832987355,0.18,V4C
Algeria,,6,1056.2118832987355,0.18,V4C
Algeria,,7,826.5242668186718,1.6700000000000002,V4C
Algeria,,8,826.5242668186718,1.6700000000000002,V4C
Algeria,,9,757.4168567725563,10.85,V4C
Andorra,,0,40.0441212969144,0.0,V4C
Andorra,,1,40.0441212969144,0.0,V4C
Andorra,,2,38.0569366641209,0.33,V4C
Andorra,,3,38.0569366641209,0.33,V4C
Andorra,,4,36.34307113185758,0.66,V4C
Andorra,,5,36.34307113185758,0.66,V4C
Andorra,,6,34.85083067587572,0.99,V4C
Andorra,,7,34.85083067587572,0.99,V4C
Andorra,,8,32.30688159613656,4.2700000000000005,V4C
Andorra,,9,32.30688159613656,4.2700000000000005,V4C
Angola,,0,242.7623012689906,0.0,V4C
Angola,,1,242.7623012689906,0.0,V4C
Angola,,2,187.01063130193626,1.53,V4C
Angola,,3,187.01063130193626,1.53,V4C
Angola,,4,177.30894780942808,3.2399999999999998,V4C
Angola,,5,177.30894780942808,3.2399999999999998,V4C
Angola,,6,143.32841379967002,8.47,V4C
Angola,,7,143.32841379967002,8.47,V4C
Angola,,8,140.92187485702564,9.99,V4C
Angola,,9,140.92187485702564,9.99,V4C
Argentina,,0,19900.05460868875,0.0,V4C
Argentina,,1,19900.05460868875,0.0,V4C
Argentina,,2,16658.681223490003,4.11,V4C
Argentina,,3,16658.681223490003,4.11,V4C
Argentina,,4,16262.551893316151,5.07,V4C
Argentina,,5,16262.551893316151,5.07,V4C
Argentina,,6,13606.143339027009,10.35,V4C
Argentina,,7,13606.143339027009,10.35,V4C
