CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,PrescriptorName
Afghanistan,,0,420.73886790946835,0.0,V4C
Afghanistan,,1,348.6906878027136,1.22,V4C
Afghanistan,,2,331.48098759482974,1.9199999999999997,V4C
Afghanistan,,3,301.5178792381995,2.88,V4C
Afghanistan,,4,276.89430266399137,4.589999999999999,V4C
Afghanistan,,5,276.89430266399137,4.589999999999999,V4C
Afghanistan,,6,260.290175337219,6.17,V4C
Afghanistan,,7,240.8744504690617,7.879999999999999,V4C
Afghanistan,,8,212.49821155395418,15.049999999999999,V4C
Afghanistan,,9,209.08644838693465,17.93,V4C
Albania,,0,998.7894995135887,0.0,V4C
Albania,,1,998.7894995135887,0.0,V4C
Albania,,2,924.7233843453373,0.14,V4C
Albania,,3,924.7233843453373,0.14,V4C
Albania,,4,862.3671770019388,0.28,V4C
Albania,,5,862.3671770019388,0.28,V4C
Albania,,6,809.2498569554294,0.42000000000000004,V4C
Albania,,7,809.2498569554294,0.42000000000000004,V4C
Albania,,8,787.8865978489246,0.62,V4C
Albania,,9,787.8865978489246,0.62,V4C
Algeria,,0,634.1591352576302,0.0,V4C
Algeria,,1,579.3928075985478,0.05999999999999999,V4C
Algeria,,2,579.3928075985478,0.05999999999999999,V4C
Algeria,,3,533.8349211557222,0.11999999999999998,V4C
Algeria,,4,533.8349211557222,0.11999999999999998,V4C
Algeria,,5,495.4394119469343,0.18,V4C
Algeria,,6,495.4394119469343,0.18,V4C
Algeria,,7,378.30166724453005,1.6700000000000002,V4C
Algeria,,8,378.30166724453005,1.6700000000000002,V4C
Algeria,,9,343.72216909071216,10.85,V4C
Andorra,,0,38.107261528890305,0.0,V4C
Andorra,,1,38.107261528890305,0.0,V4C
Andorra,,2,36.20339657827357,0.33,V4C
Andorra,,3,36.20339657827357,0.33,V4C
Andorra,,4,34.558482789150396,0.66,V4C
Andorra,,5,34.558482789150396,0.66,V4C
Andorra,,6,33.12372147326603,0.99,V4C
Andorra,,7,33.12372147326603,0.99,V4C
Andorra,,8,30.673508148582574,4.2700000000000005,V4C
Andorra,,9,30.673508148582574,4.2700000000000005,V4C
Angola,,0,599.7083080005383,0.0,V4C
Angola,,1,537.7103673440982,0.51,V4C
Angola,,2,537.7103673440982,0.51,V4C
Angola,,3,486.0547332936825,1.02,V4C
Angola,,4,442.44234407141096,1.53,V4C
Angola,,5,442.44234407141096,1.53,V4C
Angola,,6,415.70390815219315,3.24,V4C
Angola,,7,323.8743280826065,8.47,V4C
Angola,,8,323.8743280826065,8.47,V4C
Angola,,9,317.4874653150216,9.990000000000002,V4C
Argentina,,0,37036.67767305828,0.0,V4C
Argentina,,1,30670.03270686676,4.11,V4C
Argentina,,2,30670.03270686676,4.11,V4C
Argentina,,3,29891.406206085394,5.070000000000001,V4C
Argentina,,4,29891.406206085394,5.070000000000001,V4C
Argentina,,5,24676.603104668935,10.35,V4C
Argentina,,6,24676.603104668935,10.35,V4C
Argentina,,7,23578.504419244106,10.47,V4C
Argentina,,8,23578.504419244106,10.47,V4C
Argentina,,9,21839.76449558676,15.3,V4C
Aruba,,0,95.07358711882583,0.0,V4C
Aruba,,1,95.07358711882583,0.0,V4C
Aruba,,2,95.07358711882583,0.0,V4C
Aruba,,3,80.42349597334479,1.26,V4C
Aruba,,4,80.42349597334479,1.26,V4C
Aruba,,5,80.42349597334479,1.26,V4C
Aruba,,6,80.42349597334479,1.26,V4C
Aruba,,7,61.27025382404596,15.17,V4C
Aruba,,8,61.27025382404596,15.17,V4C
Aruba,,9,61.27025382404596,15.17,V4C
Australia,,0,107.43936689537908,0.0,V4C
Australia,,1,107.43936689537908,0.0,V4C
Australia,,2,67.62305321259038,3.9299999999999997,V4C
Australia,,3,67.62305321259038,3.9299999999999997,V4C
Australia,,4,67.62305321259038,3.9299999999999997,V4C
Australia,,5,53.01736282991169,15.269999999999998,V4C
Australia,,6,53.01736282991169,15.269999999999998,V4C
Australia,,7,53.01736282991169,15.269999999999998,V4C
Australia,,8,51.45602710575323,20.87,V4C
Australia,,9,51.45602710575323,20.87,V4C
Austria,,0,6910.524614187564,0.0,V4C
Austria,,1,5501.131009445748,0.33,V4C
Austria,,2,5501.131009445748,0.33,V4C
Austria,,3,5200.972216709452,0.63,V4C
Austria,,4,4940.058490339323,0.9299999999999999,V4C
Austria,,5,4940.058490339323,0.9299999999999999,V4C
Austria,,6,4711.3683864602235,1.23,V4C
Austria,,7,4321.869466776328,5.01,V4C
Austria,,8,4321.869466776328,5.01,V4C
Austria,,9,4264.010371095958,6.01,V4C
Azerbaijan,,0,10715.893899105495,0.0,V4C
Azerbaijan,,1,10715.893899105495,0.0,V4C
Azerbaijan,,2,8446.025427046468,1.6800000000000002,V4C
Azerbaijan,,3,8446.025427046468,1.6800000000000002,V4C
Azerbaijan,,4,8121.291032274533,2.2800000000000002,V4C
Azerbaijan,,5,8121.291032274533,2.2800000000000002,V4C
Azerbaijan,,6,7658.388990915425,4.429999999999999,V4C
Azerbaijan,,7,7658.388990915425,4.429999999999999,V4C
Azerbaijan,,8,6191.003484458285,9.04,V4C
Azerbaijan,,9,6191.003484458285,9.04,V4C
Bahamas,,0,262.53397087658715,0.0,V4C
Bahamas,,1,262.53397087658715,0.0,V4C
Bahamas,,2,237.56404412082227,0.17,V4C
Bahamas,,3,237.56404412082227,0.17,V4C
Bahamas,,4,216.38759513093683,0.34,V4C
Bahamas,,5,216.38759513093683,0.34,V4C
Bahamas,,6,198.23397580136483,0.51,V4C
Bahamas,,7,198.23397580136483,0.51,V4C
Bahamas,,8,163.16431711221222,2.25,V4C
Bahamas,,9,163.16431711221222,2.25,V4C
Bahrain,,0,1399.0039202621956,0.0,V4C
Bahrain,,1,1399.0039202621956,0.0,V4C
Bahrain,,2,1274.3527837817378,1.55,V4C
Bahrain,,3,1274.3527837817378,1.55,V4C
Bahrain,,4,1274.3527837817378,1.55,V4C
Bahrain,,5,860.9596369482676,16.81,V4C
Bahrain,,6,860.9596369482676,16.81,V4C
Bahrain,,7,860.9596369482676,16.81,V4C
Bahrain,,8,839.9830096315937,24.030000000000005,V4C
Bahrain,,9,839.9830096315937,24.030000000000005,V4C
Bangladesh,,0,47606.902499582735,0.0,V4C
Bangladesh,,1,47606.902499582735,0.0,V4C
Bangladesh,,2,32804.3322246673,3.58,V4C
Bangladesh,,3,32804.3322246673,3.58,V4C
Bangladesh,,4,30652.59528677169,4.52,V4C
Bangladesh,,5,30652.59528677169,4.52,V4C
Bangladesh,,6,28792.3181114475,5.46,V4C
Bangladesh,,7,28792.3181114475,5.46,V4C
Bangladesh,,8,26683.266319518116,9.69,V4C
Bangladesh,,9,26683.266319518116,9.69,V4C
Barbados,,0,38.04094913020481,0.0,V4C
Barbados,,1,38.04094913020481,0.0,V4C
Barbados,,2,19.670498341258778,16.24,V4C
Barbados,,3,19.670498341258778,16.24,V4C
Barbados,,4,19.670498341258778,16.24,V4C
Barbados,,5,19.308143772536887,23.56,V4C
Barbados,,6,19.308143772536887,23.56,V4C
Barbados,,7,19.308143772536887,23.56,V4C
Barbados,,8,18.630075728779126,29.54,V4C
Barbados,,9,18.630075728779126,29.54,V4C
Belarus,,0,3832.284066815268,0.0,V4C
Belarus,,1,3538.6066425762697,0.29,V4C
Belarus,,2,3538.6066425762697,0.29,V4C
Belarus,,3,3291.5766240312755,0.58,V4C
Belarus,,4,3081.350863253336,0.8699999999999999,V4C
Belarus,,5,3081.350863253336,0.8699999999999999,V4C
Belarus,,6,3021.9812228196038,1.25,V4C
Belarus,,7,2970.3491642451545,1.63,V4C
Belarus,,8,2970.3491642451545,1.63,V4C
Belarus,,9,2925.1840628267255,2.01,V4C
