CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,PrescriptorName
Afghanistan,,0,736.9012787390592,0.0,V4C
Afghanistan,,1,613.6927892717111,1.22,V4C
Afghanistan,,2,584.3264334866019,1.92,V4C
Afghanistan,,3,533.2318494810437,2.88,V4C
Afghanistan,,4,491.2827955422362,4.589999999999999,V4C
Afghanistan,,5,491.2827955422362,4.589999999999999,V4C
Afghanistan,,6,463.00753740085645,6.17,V4C
Afghanistan,,7,429.951700318414,7.879999999999999,V4C
Afghanistan,,8,381.62791595933135,15.049999999999999,V4C
Afghanistan,,9,375.8156685627252,17.93,V4C
Albania,,0,1931.762626870938,0.0,V4C
Albania,,1,1931.762626870938,0.0,V4C
Albania,,2,1778.3681647271856,0.14,V4C
Albania,,3,1778.3681647271856,0.14,V4C
Albania,,4,1649.2963261338143,0.28,V4C
Albania,,5,1649.2963261338143,0.28,V4C
Albania,,6,1539.4485505274522,0.42000000000000004,V4C
Albania,,7,1539.4485505274522,0.42000000000000004,V4C
Albania,,8,1495.275995583698,0.6200000000000001,V4C
Albania,,9,1495.275995583698,0.6200000000000001,V4C
Algeria,,0,2150.4810516657903,0.0,V4C
Algeria,,1,1959.2095019406336,0.06,V4C
Algeria,,2,1959.2095019406336,0.06,V4C
Algeria,,3,1800.6261035288453,0.12,V4C
Algeria,,4,1800.6261035288453,0.12,V4C
Algeria,,5,1667.3632442197063,0.18,V4C
Algeria,,6,1667.3632442197063,0.18,V4C
Algeria,,7,1263.3529263277173,1.6700000000000002,V4C
Algeria,,8,1263.3529263277173,1.6700000000000002,V4C
Algeria,,9,1144.918110370867,10.85,V4C
Andorra,,0,66.01769127488406,0.0,V4C
Andorra,,1,66.01769127488406,0.0,V4C
Andorra,,2,62.02731504627778,0.33,V4C
Andorra,,3,62.02731504627778,0.33,V4C
Andorra,,4,58.603017781992904,0.66,V4C
Andorra,,5,58.603017781992904,0.66,V4C
Andorra,,6,55.635974142937116,0.99,V4C
Andorra,,7,55.635974142937116,0.99,V4C
Andorra,,8,50.61324372435364,4.2700000000000005,V4C
Andorra,,9,50.61324372435364,4.2700000000000005,V4C
Angola,,0,531.6927974520866,0.0,V4C
Angola,,1,531.6927974520866,0.0,V4C
Angola,,2,365.68265330692856,3.24,V4C
Angola,,3,365.68265330692856,3.24,V4C
Angola,,4,365.68265330692856,3.24,V4C
Angola,,5,283.7737647464393,8.47,V4C
Angola,,6,283.7737647464393,8.47,V4C
Angola,,7,283.7737647464393,8.47,V4C
Angola,,8,278.10304666701126,9.990000000000002,V4C
Angola,,9,278.10304666701126,9.990000000000002,V4C
Argentina,,0,39587.636826738286,0.0,V4C
Argentina,,1,39587.636826738286,0.0,V4C
Argentina,,2,32226.36502846145,4.11,V4C
Argentina,,3,32226.36502846145,4.11,V4C
Argentina,,4,31332.25553159448,5.07,V4C
Argentina,,5,31332.25553159448,5.07,V4C
Argentina,,6,25388.65141624207,10.35,V4C
Argentina,,7,25388.65141624207,10.35,V4C
Argentina,,8,22193.340902830467,15.3,V4C
Argentina,,9,22193.340902830467,15.3,V4C
Aruba,,0,130.66519641545534,0.0,V4C
Aruba,,1,130.66519641545534,0.0,V4C
Aruba,,2,130.66519641545534,0.0,V4C
Aruba,,3,106.5382625365856,1.26,V4C
Aruba,,4,106.5382625365856,1.26,V4C
Aruba,,5,106.5382625365856,1.26,V4C
Aruba,,6,106.5382625365856,1.26,V4C
Aruba,,7,75.58657179798453,15.170000000000002,V4C
Aruba,,8,75.58657179798453,15.170000000000002,V4C
Aruba,,9,75.58657179798453,15.170000000000002,V4C
Australia,,0,181.26085992226993,0.0,V4C
Australia,,1,181.26085992226993,0.0,V4C
Australia,,2,112.25181841870985,3.9299999999999993,V4C
Australia,,3,112.25181841870985,3.9299999999999993,V4C
Australia,,4,112.25181841870985,3.9299999999999993,V4C
Australia,,5,87.35897904307275,15.269999999999998,V4C
Australia,,6,87.35897904307275,15.269999999999998,V4C
Australia,,7,87.35897904307275,15.269999999999998,V4C
Australia,,8,84.71471479313948,20.87,V4C
Australia,,9,84.71471479313948,20.87,V4C
Austria,,0,5551.808394697896,0.0,V4C
Austria,,1,5062.764189627053,0.11,V4C
Austria,,2,4648.234669108997,0.22,V4C
Austria,,3,4292.816711742524,0.33,V4C
Austria,,4,4029.8607709432777,0.63,V4C
Austria,,5,4029.8607709432777,0.63,V4C
Austria,,6,3802.90557574437,0.9299999999999999,V4C
Austria,,7,3605.270983401701,1.23,V4C
Austria,,8,3271.546280816838,5.01,V4C
Austria,,9,3222.28790267945,6.01,V4C
Azerbaijan,,0,3082.777470618276,0.0,V4C
Azerbaijan,,1,2414.0192756095703,1.6800000000000002,V4C
Azerbaijan,,2,2414.0192756095703,1.6800000000000002,V4C
Azerbaijan,,3,2320.6369461707745,2.2800000000000002,V4C
