CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,PrescriptorName
Afghanistan,,0,8484.15667469389,0.0,V4C
Afghanistan,,1,7138.377528078015,1.22,V4C
Afghanistan,,2,6814.311421173524,1.9199999999999997,V4C
Afghanistan,,3,6247.564632501047,2.88,V4C
Afghanistan,,4,5779.0501097884135,4.589999999999999,V4C
Afghanistan,,5,5779.0501097884135,4.589999999999999,V4C
Afghanistan,,6,5461.551468785175,6.17,V4C
Afghanistan,,7,5088.653174589669,7.879999999999999,V4C
Afghanistan,,8,4540.208129669336,15.049999999999999,V4C
Afghanistan,,9,4473.945368394134,17.93,V4C
Albania,,0,9.362221060995134,0.0,V4C
Albania,,1,9.362221060995134,0.0,V4C
Albania,,2,9.362221060995134,0.0,V4C
Albania,,3,8.009644654327367,0.28,V4C
Albania,,4,8.009644654327367,0.28,V4C
Albania,,5,8.009644654327367,0.28,V4C
Albania,,6,8.009644654327367,0.28,V4C
Albania,,7,7.488398285101273,0.42000000000000004,V4C
Albania,,8,7.488398285101273,0.42000000000000004,V4C
Albania,,9,7.488398285101273,0.42000000000000004,V4C
Algeria,,0,2291.674740221491,0.0,V4C
Algeria,,1,2094.015676319418,0.05999999999999999,V4C
Algeria,,2,2094.015676319418,0.05999999999999999,V4C
Algeria,,3,1929.5085898469292,0.11999999999999998,V4C
Algeria,,4,1929.5085898469292,0.11999999999999998,V4C
Algeria,,5,1790.8051770430072,0.18,V4C
Algeria,,6,1790.8051770430072,0.18,V4C
Algeria,,7,1367.3786026501864,1.6700000000000002,V4C
Algeria,,8,1367.3786026501864,1.6700000000000002,V4C
Algeria,,9,1242.2736033351407,10.85,V4C
Andorra,,0,4.133563871455416,0.0,V4C
Andorra,,1,4.133563871455416,0.0,V4C
Andorra,,2,4.001437638458641,0.33,V4C
Andorra,,3,4.001437638458641,0.33,V4C
Andorra,,4,3.8867346412717025,0.66,V4C
Andorra,,5,3.8867346412717025,0.66,V4C
Andorra,,6,3.792475066335231,0.99,V4C
Andorra,,7,3.792475066335231,0.99,V4C
Andorra,,8,3.6357791592804216,4.2700000000000005,V4C
Andorra,,9,3.6357791592804216,4.2700000000000005,V4C
Angola,,0,733.8072564279454,0.0,V4C
Angola,,1,733.8072564279454,0.0,V4C
Angola,,2,548.1015939394164,1.53,V4C
Angola,,3,548.1015939394164,1.53,V4C
Angola,,4,516.42421523554,3.24,V4C
Angola,,5,516.42421523554,3.24,V4C
Angola,,6,407.2835376836868,8.47,V4C
Angola,,7,407.2835376836868,8.47,V4C
Angola,,8,399.66853316653055,9.990000000000002,V4C
Angola,,9,399.66853316653055,9.990000000000002,V4C
Argentina,,0,24623.837243278685,0.0,V4C
Argentina,,1,21023.238100999904,4.11,V4C
Argentina,,2,21023.238100999904,4.11,V4C
Argentina,,3,20579.577294396477,5.070000000000001,V4C
Argentina,,4,20579.577294396477,5.070000000000001,V4C
Argentina,,5,17578.03744860805,10.35,V4C
Argentina,,6,17578.03744860805,10.35,V4C
Argentina,,7,16937.616471523612,10.47,V4C
Argentina,,8,16937.616471523612,10.47,V4C
Argentina,,9,15918.69051794653,15.3,V4C
Aruba,,0,3.185317977301213,0.0,V4C
Aruba,,1,3.185317977301213,0.0,V4C
Aruba,,2,3.185317977301213,0.0,V4C
Aruba,,3,3.185317977301213,0.0,V4C
Aruba,,4,3.185317977301213,0.0,V4C
Aruba,,5,2.6951460458379355,1.26,V4C
Aruba,,6,2.6951460458379355,1.26,V4C
Aruba,,7,2.6951460458379355,1.26,V4C
Aruba,,8,2.6951460458379355,1.26,V4C
Aruba,,9,2.6951460458379355,1.26,V4C
Australia,,0,456.44302802481553,0.0,V4C
Australia,,1,456.44302802481553,0.0,V4C
Australia,,2,283.49897179147524,3.9299999999999997,V4C
Australia,,3,283.49897179147524,3.9299999999999997,V4C
Australia,,4,283.49897179147524,3.9299999999999997,V4C
Australia,,5,220.29730132701343,15.269999999999998,V4C
Australia,,6,220.29730132701343,15.269999999999998,V4C
Australia,,7,220.29730132701343,15.269999999999998,V4C
Australia,,8,213.5570248471228,20.87,V4C
Australia,,9,213.5570248471228,20.87,V4C
Austria,,0,132.7994393040411,0.0,V4C
Austria,,1,99.10688096667604,0.63,V4C
Austria,,2,99.10688096667604,0.63,V4C
Austria,,3,94.09271376918142,0.9299999999999999,V4C
Austria,,4,94.09271376918142,0.9299999999999999,V4C
Austria,,5,89.7229007715432,1.23,V4C
Austria,,6,89.7229007715432,1.23,V4C
Austria,,7,82.33299942443674,5.01,V4C
Austria,,8,82.33299942443674,5.01,V4C
Austria,,9,81.24071173424748,6.01,V4C
Azerbaijan,,0,263.49736470101266,0.0,V4C
Azerbaijan,,1,263.49736470101266,0.0,V4C
Azerbaijan,,2,202.9429253976758,1.6800000000000002,V4C
Azerbaijan,,3,202.9429253976758,1.6800000000000002,V4C
Azerbaijan,,4,194.5516082195873,2.2800000000000002,V4C
Azerbaijan,,5,194.5516082195873,2.2800000000000002,V4C
Azerbaijan,,6,182.7058556790385,4.429999999999999,V4C
Azerbaijan,,7,182.7058556790385,4.429999999999999,V4C
Azerbaijan,,8,146.0083072773408,9.04,V4C
Azerbaijan,,9,146.0083072773408,9.04,V4C
Bahamas,,0,144.78863835127558,0.0,V4C
Bahamas,,1,144.78863835127558,0.0,V4C
Bahamas,,2,144.78863835127558,0.0,V4C
Bahamas,,3,144.78863835127558,0.0,V4C
Bahamas,,4,144.78863835127558,0.0,V4C
Bahamas,,5,91.10266310943628,2.25,V4C
Bahamas,,6,91.10266310943628,2.25,V4C
Bahamas,,7,91.10266310943628,2.25,V4C
Bahamas,,8,91.10266310943628,2.25,V4C
Bahamas,,9,91.10266310943628,2.25,V4C
Bahrain,,0,89.58394732508539,0.0,V4C
Bahrain,,1,89.58394732508539,0.0,V4C
Bahrain,,2,83.56110415686236,1.55,V4C
Bahrain,,3,83.56110415686236,1.55,V4C
Bahrain,,4,83.56110415686236,1.55,V4C
Bahrain,,5,62.93537248046449,16.81,V4C
Bahrain,,6,62.93537248046449,16.81,V4C
Bahrain,,7,62.93537248046449,16.81,V4C
Bahrain,,8,61.88279037719529,24.030000000000005,V4C
Bahrain,,9,61.88279037719529,24.030000000000005,V4C
Bangladesh,,0,60184.10817133898,0.0,V4C
Bangladesh,,1,54206.26546421536,0.88,V4C
Bangladesh,,2,49186.90882405099,1.76,V4C
Bangladesh,,3,49186.90882405099,1.76,V4C
Bangladesh,,4,44920.81474707029,2.64,V4C
Bangladesh,,5,41788.37547614069,3.58,V4C
